Product ID (on Jumbo.com),Item nr,EAN,Item description,Netto inh.,Kode CE,BasisEH-X-,Verp.CE,Price range,Presentation Group,Fresh / Dry grocery,Price J1 16-1,Price J2 16-1,Price J3 16-1,,,,,Different price?,,,,Differnet price?
76303PAK,76303,8711715882745,JUMBO OESTERZWAMMEN      ,150,GR     ,PAK,PAK,N,Agf Pnkl_1,Fresh,"1,69","1,69","1,69",,,,http://www.ah.nl/producten/product/wi96396/ah-oesterzwammen,,,,no match ,
84786PAK,84786,8718449046580,JUMBO KLEINE CHAMPIGNONS ,175,GR     ,PAK,PAK,N,Agf Pnkl_1,Fresh,"1,79","1,79","1,79",,,,http://www.ah.nl/producten/product/wi4169/ah-champignons-fijn,,,, http://www.hoogvliet.com/product/hoogvliet-champignons1?tracking=|searchterm:champignons,
97806ZK,97806,8718449016040,JUMBO VD IJSBERGSLA      ,400,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"1,55","1,55","1,55",,,,http://www.ah.nl/producten/product/wi168153/ah-ijsbergsla,,,300g,http://www.hoogvliet.com/product/hoogvliet-ijsbergsla-naturel-voordeelzak?tracking=|searchterm:|IJsbergsla%20Voordeel,
97807STK,97807,8718375473887,JUMBO IJSBERGSLA KLEIN   ,100,GR     ,STK,STK,N,Agf Pnkl_1,Fresh,"0,89","0,00","0,00",,,,http://www.ah.nl/producten/product/wi193247/ah-kleintje-ijsbergsla,,,200g,http://www.hoogvliet.com/product/hoogvliet-ijsbergsla-naturel?tracking=|searchterm:IJsbergsla,
97808ZK,97808,8711715884305,JUMBO IJSBERGSLA MIX     ,200,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"0,99","0,00","0,00",,,,http://www.ah.nl/producten/product/wi3840/ah-gemengde-ijsbergsla-extra,,,,http://www.hoogvliet.com/product/hoogvliet-ijsbergslamix?tracking=|searchterm:|IJsbergsla%20Voordeel,
97809ZK,97809,8718449052468,JUMBO GEMENGDE SALADE    ,300,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"1,69","0,00","0,00",,,,http://www.ah.nl/producten/product/wi160705/ah-gemengde-salade,,,,http://www.hoogvliet.com/product/hoogvliet-gemengde-salade?tracking=|searchterm:Gemengde|Salade,
97830ZK,97830,8718449018112,JUMBO IJSBERGSLA         ,200,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"1,19","1,19","1,19",,,,http://www.ah.nl/producten/product/wi129684/ah-ijsbergsla,,,,http://www.hoogvliet.com/product/hoogvliet-ijsbergsla-naturel?tracking=|searchterm:|IJsbergsla%20Voo,
97831ZK,97831,8718449052444,JUMBO JONGE BLADSLA MEL. ,75,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"1,59","1,59","1,59",,,80g,http://www.ah.nl/producten/product/wi168154/ah-jonge-bladsla-met-veldsla,,,,http://www.hoogvliet.com/product/hoogvliet-jonge-bladsla1?tracking=|searchterm:Bladsla,
97833ZK,97833,8711715824103,JUMBO IJSBERGSLA TUINKR. ,200,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"1,39","1,39","1,39",,,,http://www.ah.nl/producten/product/wi104073/ah-ijsbergsla-met-tuinkruiden,,,,no match ,
97835ZK,97835,8718449018174,JUMBO KRULSLA MELANGE    ,100,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"1,49","0,00","0,00",,,,http://www.ah.nl/producten/product/wi41085/ah-krulsla-melange,,,,no match ,
97836ZK,97836,8718449018136,JUMBO RUCOLA MELANGE 75  ,75,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"0,99","0,00","0,00",,,,http://www.ah.nl/producten/product/wi62661/ah-rucolasla-melange,,,,http://www.hoogvliet.com/product/hoogvliet-rucola-melange?tracking=|searchterm:Rucola|,
97837ZK,97837,8718449027138,JUMBO RUCOLA MELANGE 150 ,150,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"1,89","0,00","0,00",,,,http://www.ah.nl/producten/product/wi155598/ah-rucola-slamelange,,,,http://www.hoogvliet.com/product/hoogvliet-rucola-melange-voordeelzak?tracking=|searchterm:rucola|melange,
97839ZK,97839,8711715884367,JUMBO RUCOLA             ,75,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"0,99","0,00","0,00",,,,http://www.ah.nl/producten/product/wi111767/ah-rucola,,,,http://www.hoogvliet.com/product/hoogvliet-rucola-naturel2?tracking=|searchterm:Rucola,
97840ZK,97840,8718449052475,JUMBO VELDSLA            ,75,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"0,99","0,00","0,00",,,,http://www.ah.nl/producten/product/wi67593/ah-veldsla,,,,http://www.hoogvliet.com/product/hoogvliet-veldsla2?tracking=|searchterm:Veldsla|,
97842ZK,97842,8718449053199,JUMBO VD RUCOLA          ,150,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"1,89","0,00","0,00",,,125g,http://www.ah.nl/producten/product/wi168092/ah-rucola-voordeel,,,,http://www.hoogvliet.com/product/hoogvliet-rucola-naturel3?tracking=|searchterm:Rucola|Voordeel,
97897ZK,97897,8711715883803,JUMBO RODE KOOL          ,350,GR     ,ZK,ZK,N,Agf Pnkl_1,Fresh,"1,29","1,29","1,29",,,,no match ,,,500g,http://www.hoogvliet.com/product/hoogvliet-rode-kool?tracking=|searchterm:rode|kool,
150665STK,150665,8718449066465,JUMBO KAST. CHAMP. GESN.,125,GR     ,STK,STK,N,Agf Pnkl_1,Fresh,"1,49","1,49","1,49",,,,http://www.ah.nl/producten/product/wi123186/ah-kastanjechampignons-gesneden,,,200g,http://www.hoogvliet.com/product/hoogvliet-gesneden-kastanje-champignons?tracking=|searchterm:kastanje|champignons,
98698PAK,98698,8718449066489,JUMBO HOL. PADDENST.MIX  ,150,GR     ,PAK,PAK,N,Agf Pnkl_1,Fresh,"1,99","1,99","1,99",,,,no match ,,,,no match ,
99015PAK,99015,8711715882752,JUMBO PORTA BELLA        ,2,ST     ,PAK,PAK,N,Agf Pnkl_1,Fresh,"1,69","1,69","1,69",,,,no match ,,,,no match ,
99016PAK,99016,8711715882776,JUMBO SEIZOEN MELANGE    ,150,GR     ,PAK,PAK,N,Agf Pnkl_1,Fresh,"2,49","2,49","2,49",,,,http://www.ah.nl/producten/product/wi217420/ah-seizoens-paddenstoelenmelange,,,,no match ,
41278KGR,41278,2235310000000,AGF BANANEN DOLE         ,1.000,GR     ,GRM,KGR,A,Banaan,Fresh,"0,99","0,99","0,99",,,,http://www.ah.nl/producten/product/wi127393/chiquita-bananen,,,,http://www.hoogvliet.com/product/turbana-bananen?tracking=|searchterm:bananen,
49924ZK,49924,4014071629455,AGF BIO-FAIRTRADE BANANE ,5,ST     ,ZK,ZK,A,Banaan,Fresh,"1,79","0,00","0,00",,,,no match ,,,,http://www.hoogvliet.com/product/hoogvliet-max-havelaar-bananen?tracking=|searchterm:bananen,
77663KGR,77663,2369481000000,JUMBE KIPFILET 2 ST      ,1.000,GR     ,GRM,KGR,N,Kip,Fresh,"10,69","10,69","10,69",,,,http://www.ah.nl/producten/product/wi129225/ah-kipfilet,,,,http://www.hoogvliet.com/product/hoogvliet-kipfilet6?tracking=|searchterm:kipfilet,
88257BAK,88257,8718452021208,JUMBO KIPFILETBLOKJES 315,315,GR     ,BAK,BAK,N,Kip,Fresh,"3,00","3,00","3,00",,,,http://www.ah.nl/producten/product/wi47280/ah-kipfiletblokjes,,,400g,http://www.hoogvliet.com/product/hoogvliet-kipfiletblokjes2?tracking=|searchterm:Kipfiletblok,
88280BAK,88280,8718452021215,JUMBO KIPFILETBLOKJES 540,540,GR     ,BAK,BAK,N,Kip,Fresh,"5,00","5,00","5,00",,,,http://www.ah.nl/producten/product/wi162189/ah-kipfiletblokjes-voordeel,,,,no match ,
88290BAK,88290,8718452021192,JUMBO KIPFILET 800 GR FW ,800,GR     ,BAK,BAK,N,Kip,Fresh,"5,00","5,00","5,00",,,500g,http://www.ah.nl/producten/product/wi173061/ah-kipfilet,,,450g,http://www.hoogvliet.com/product/hoogvliet-kipfilet7?tracking=|searchterm:kipfilet,
92296BAK,92296,8718452021185,JUMBO KIPFILET 390 GR FW ,390,GR     ,BAK,BAK,N,Kip,Fresh,"3,00","3,00","3,00",,,380g,http://www.ah.nl/producten/product/wi3920/ah-kipfilet,,,200g,http://www.hoogvliet.com/product/hoogvliet-kipfilet9?tracking=|searchterm:kipfilet,
58505KGR,58505,2369122000000,MK SPEKLAP A LA MINUTE   ,1.000,GR     ,GRM,KGR,N,Varkensvls,Fresh,"7,58","7,58","7,58",,,,http://www.ah.nl/producten/product/wi192858/ah-speklap-a-la-minute-naturel,,,,no matc h,
58514KGR,58514,2369117000000,MK SPEKLAPPEN Z/ZW 2 S   ,1.000,GR     ,GRM,KGR,N,Varkensvls,Fresh,"6,20","6,20","6,20",,,,http://www.ah.nl/producten/product/wi3986/ah-speklapjes-zonder-zwoerd,,,,http://www.hoogvliet.com/product/hoogvliet-speklappen-2-stuks?tracking=|searchterm:Speklappen,
58515KGR,58515,2369118000000,MK SPEKLAPPEN Z/ZW 3 S   ,1.000,GR     ,GRM,KGR,N,Varkensvls,Fresh,"6,20","6,20","6,20",,,,http://www.ah.nl/producten/product/wi232421/ah-speklapjes,,,,no match ,
95999KGR,95999,2320309000000,BIO+ SPEKLAP ALM 3 ST    ,1.000,GR     ,GRM,KGR,N,Varkensvls,Fresh,"12,49","12,49","12,49",,,,http://www.ah.nl/producten/product/wi224092/ah-puur-en-eerlijk-biologisch-speklap,,,, http://www.hoogvliet.com/product/hoogvliet-biologische-speklapjes?tracking=|searchterm:speklap,
132779PAK,132779,5019503001488,QUORN FIJNGEHAKT         ,175,GR     ,PAK,PAK,A,Vleesverv,Fresh,"2,49","2,49","2,49",,,,http://www.ah.nl/producten/product/wi55418/quorn-fijngehakt-hache,,,,no match ,
43566STK,43566,8711715825650,JUMBO VEG. KRUIMGEHAKT   ,175,GR     ,STK,STK,N,Vleesverv,Fresh,"1,99","1,99","1,99",,,, http://www.ah.nl/producten/product/wi165343/ah-vega-fijngehakt,,,,http://www.hoogvliet.com/product/vivera-kruimgehakt?tracking=|searchterm:Kruimgehakt|,
